Country Name,2015 Happiness Score,2016 Happiness Score,2017 Happiness Score,2018 Happiness Score,2019 Happiness Score
South Korea,5.984,5.835,5.837999820709231,5.875,5.895
Spain,6.329,6.3610000000000015,6.40299987792969,6.31,6.354
Sri Lanka,4.271,4.415,4.44000005722046,4.471,4.3660000000000005
Sudan,4.55,4.1389999999999985,4.138999938964839,4.1389999999999985,
Suriname,6.269,6.269,,,
Swaziland,4.867,,,,4.212
Sweden,7.364,7.291,7.28399991989136,7.314,7.343
Switzerland,7.5870000000000015,7.508999999999999,7.49399995803833,7.487,7.48
Syria,3.006,3.069,3.46199989318848,3.462,3.462
Taiwan,6.297999999999999,6.379,,6.441,6.4460000000000015
Tajikistan,4.7860000000000005,4.996,5.04099988937378,5.199,5.4670000000000005
Tanzania,3.781,3.666,3.34899997711182,3.303,3.2310000000000003
Thailand,6.455,6.474,6.423999786376951,6.072,6.007999999999999
Togo,2.839,3.303,3.4949998855590803,3.999,4.085
Trinidad and Tobago,6.167999999999998,6.167999999999998,6.1680002212524405,,
Tunisia,4.739,5.045,4.80499982833862,4.592,4.461
Turkey,5.332000000000002,5.3889999999999985,5.5,5.483,5.372999999999998
Turkmenistan,5.547999999999999,5.658,5.82200002670288,5.636,5.247000000000001
Uganda,3.931,3.739,4.08099985122681,4.1610000000000005,4.189
Ukraine,4.681,4.324,4.09600019454956,4.103,4.332
United Arab Emirates,6.901,6.573,6.6479997634887695,6.774,6.825
United Kingdom,6.867000000000001,6.725,6.71400022506714,7.19,7.0539999999999985
United States,7.119,7.104,6.993000030517581,6.886,6.892
Uruguay,6.485,6.545,6.4539999961853,6.379,6.292999999999998
Uzbekistan,6.002999999999999,5.987,5.97100019454956,6.096,6.174
Venezuela,6.81,6.084,5.25,4.806,4.707
Vietnam,5.36,5.061,5.07399988174438,5.103,5.175
Yemen,4.077,3.724,3.59299993515015,3.355,3.38
Zambia,5.129,4.795,4.513999938964839,4.377,4.107
Zimbabwe,4.61,4.1930000000000005,3.875,3.692,3.663
