,Country Name,2015 % Total GDP,2016 % Total GDP,2017 % Total GDP,2018 % Total GDP,2019 % Total GDP,"2015 % Spending/Student, Primary","2016 % Spending/Student, Primary","2017 % Spending/Student, Primary","2018 % Spending/Student, Primary","2019 % Spending/Student, Primary","2015 % Spending/Student, Secondary","2016 % Spending/Student, Secondary","2017 % Spending/Student, Secondary","2018 % Spending/Student, Secondary","2019 % Spending/Student, Secondary","2015 % Spending/Student, Tertiary","2016 % Spending/Student, Tertiary","2017 % Spending/Student, Tertiary","2018 % Spending/Student, Tertiary","2019 % Spending/Student, Tertiary"
248,Middle income,,4.081150055,4.394094944,,,,,,,,,,,,,,,,,
249,North America,,,,,,18.664005,19.85908,,,,21.68055,22.1348,,,,29.227265000000003,25.434804999999997,,,
250,Not classified,,,,,,,,,,,,,,,,,,,,
251,OECD members,5.106850147,5.007110119,4.994495153,,,19.878014999999998,20.279965,,,,22.54295,22.30415,,,,27.37707,25.409775,,,
252,Other small states,,,5.02312994,,,,,,,,,,,,,,,,,
253,Pacific island small states,,,,,,,,,,,,,,,,,,,,
254,Post-demographic dividend,5.205920218999999,5.05725503,5.0699300769999995,,,19.76064,20.295035000000002,,,,23.05669,23.048605,,,,26.906509999999997,25.3323,,,
255,Pre-demographic dividend,3.67008996,3.078160048,4.031330109,3.696439981,,,,,,,,,,,,,,,,
256,Small states,,,5.1418750289999995,,,,,,,,,,,,,,,,,
257,South Asia,2.952909946,3.449199915,3.47919488,,,9.17222,,,,,10.45324,11.98575,,,,29.412,30.521659999999997,,,
258,South Asia (IDA & IBRD),2.952909946,3.449199915,3.47919488,,,9.17222,,,,,10.45324,11.98575,,,,29.412,30.521659999999997,,,
259,Sub-Saharan Africa,4.148090005,3.257695079,4.031330109,4.303765059,,,,,,,,,,,,,,,,
260,Sub-Saharan Africa (excluding high income),3.801500082,3.096090078,3.917405009,3.989439964,,,,,,,,,,,,,,,,
261,Sub-Saharan Africa (IDA & IBRD countries),4.148090005,3.257695079,4.031330109,4.303765059,,,,,,,,,,,,,,,,
262,Upper middle income,,3.8131699560000003,4.09250021,,,,,,,,,,,,,,,,,
263,World,4.62432003,4.459100008,4.52916503,,,,,,,,,,,,,,,,,
